,Education,Marital_Status,Age_Group,Income_Class,Children,Wine_Preference,Fruit_Preference,Meat_Preference,Sweets_Preference,Purchase_Place
601,PhD,Single,40s,Medium,No Children,Wine,Fruits,Meat,Sweets,Store
121,Master,Alone,50s,High,Children,Wine,No Fruits,No Meat,No Sweets,Web
1247,PhD,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1903,2n Cycle,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
29,Master,Together,40s,Medium,No Children,Wine,Fruits,No Meat,Sweets,Store
1671,Graduation,Single,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1662,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
921,Graduation,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1339,Graduation,Together,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
964,Master,Married,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1928,Graduation,Widow,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2013,PhD,Widow,60s,High,Children,Wine,Fruits,Meat,Sweets,Web
1195,PhD,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2107,Graduation,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1106,2n Cycle,Married,30s,Medium,Children,Wine,Fruits,No Meat,No Sweets,Web
896,PhD,Married,20s,Medium,No Children,Wine,No Fruits,No Meat,No Sweets,Store
688,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
1330,Graduation,Married,20s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
1146,Graduation,Married,60s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
345,Master,Married,60s,High,No Children,Wine,Fruits,Meat,No Sweets,Web
659,Graduation,Widow,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
512,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
703,2n Cycle,Divorced,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1371,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1365,Master,Together,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
322,Graduation,Divorced,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
244,PhD,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
193,PhD,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
471,Master,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1829,PhD,Married,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1252,Graduation,Divorced,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1641,2n Cycle,Together,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
2094,PhD,Together,50s,High,Children,Wine,Fruits,Meat,No Sweets,Store
1551,PhD,Married,60s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1078,PhD,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
491,Master,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1053,Graduation,Single,80s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1579,Master,Together,50s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
197,Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
335,Graduation,Widow,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1213,PhD,Single,50s,High,No Children,Wine,Fruits,Meat,No Sweets,Web
258,Graduation,Together,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1383,Graduation,Married,50s,High,Children,Wine,No Fruits,No Meat,No Sweets,Web
1679,2n Cycle,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
277,Graduation,Widow,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1642,Graduation,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
607,PhD,Married,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1367,2n Cycle,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1052,Graduation,Married,50s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1581,Graduation,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
2049,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
846,2n Cycle,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1904,2n Cycle,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
466,Graduation,Married,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1686,PhD,Together,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
1619,Graduation,Divorced,50s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
2179,PhD,YOLO,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1163,Master,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
957,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
417,PhD,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1073,Graduation,Single,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
930,Graduation,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Web
694,Graduation,Divorced,60s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1798,PhD,Together,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
837,Graduation,Single,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1285,Graduation,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1327,Graduation,Together,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1435,Graduation,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
480,Master,Single,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
1214,Graduation,Married,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
913,Graduation,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
387,2n Cycle,Divorced,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1049,PhD,Single,20s,Medium,No Children,Wine,Fruits,Meat,Sweets,Store
1774,PhD,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1464,Graduation,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
856,Graduation,Together,30s,Medium,Children,No Wine,Fruits,No Meat,No Sweets,Store
1243,2n Cycle,Married,50s,High,Children,Wine,Fruits,No Meat,No Sweets,Web
2068,Basic,Together,40s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
2136,Graduation,Single,40s,Medium,Children,No Wine,Fruits,Meat,Sweets,Store
882,PhD,Single,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
2006,Master,Married,50s,High,Children,Wine,Fruits,Meat,No Sweets,Web
1966,Master,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
74,Graduation,Single,20s,Medium,Children,No Wine,No Fruits,Meat,No Sweets,Store
290,2n Cycle,Together,50s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
1786,Graduation,Single,40s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
2083,Master,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
928,PhD,Together,40s,Medium,Children,Wine,Fruits,No Meat,No Sweets,Web
1110,Graduation,Single,30s,Medium,Children,No Wine,Fruits,No Meat,Sweets,Store
1852,2n Cycle,Together,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1631,Graduation,Divorced,40s,Medium,No Children,Wine,Fruits,Meat,Sweets,Web
1596,Graduation,Single,30s,Medium,Children,No Wine,No Fruits,Meat,No Sweets,Web
1666,PhD,Married,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1460,PhD,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2130,Graduation,Widow,40s,Medium,Children,Wine,No Fruits,No Meat,Sweets,Web
644,2n Cycle,Together,50s,Medium,No Children,No Wine,Fruits,No Meat,Sweets,Store
1827,Master,Together,40s,High,Children,Wine,No Fruits,Meat,Sweets,Web
1713,PhD,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1572,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
481,PhD,Divorced,60s,Medium,No Children,Wine,Fruits,Meat,No Sweets,Web
1544,Master,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
2042,Graduation,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
279,2n Cycle,Together,20s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
1809,PhD,Widow,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
186,Graduation,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1338,Graduation,Single,80s,High,No Children,Wine,No Fruits,Meat,Sweets,Web
890,Graduation,Together,30s,Medium,No Children,Wine,Fruits,Meat,No Sweets,Store
570,Master,Married,60s,Medium,No Children,No Wine,Fruits,No Meat,Sweets,Store
1418,2n Cycle,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
77,Master,Together,40s,Medium,No Children,Wine,Fruits,No Meat,Sweets,Store
1693,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
669,2n Cycle,Together,20s,Medium,No Children,No Wine,Fruits,Meat,Sweets,Web
1943,Master,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
187,Graduation,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Web
838,PhD,Married,50s,High,Children,Wine,No Fruits,Meat,Sweets,Store
722,Graduation,Married,60s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
977,Graduation,Divorced,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
494,Graduation,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
917,PhD,Together,30s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
231,Graduation,Single,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1703,Graduation,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1352,Master,Single,50s,High,Children,Wine,No Fruits,Meat,Sweets,Web
609,Graduation,Widow,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1941,Graduation,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
571,Graduation,Together,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2027,Graduation,Married,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
940,PhD,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
159,Graduation,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1524,Master,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
1210,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1575,Basic,Together,20s,Low,Children,No Wine,No Fruits,No Meat,Sweets,Web
1105,Basic,Together,40s,Low,No Children,No Wine,Fruits,No Meat,No Sweets,Web
1118,Graduation,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
616,Graduation,Single,30s,Medium,Children,No Wine,No Fruits,Meat,No Sweets,Web
1453,2n Cycle,Married,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1225,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1833,2n Cycle,Single,80s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1949,Graduation,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
864,Graduation,Married,20s,Medium,Children,No Wine,Fruits,No Meat,No Sweets,Store
236,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
146,Graduation,Single,30s,High,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1926,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
57,Graduation,Single,50s,High,Children,Wine,No Fruits,Meat,Sweets,Store
379,Graduation,Single,80s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1600,Graduation,Single,20s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
391,PhD,Single,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
366,Graduation,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
468,Master,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1759,Graduation,Single,20s,Medium,Children,No Wine,No Fruits,Meat,No Sweets,Store
2131,Master,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
598,Master,Widow,60s,Medium,No Children,Wine,Fruits,No Meat,No Sweets,Store
543,PhD,Single,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
199,Graduation,Together,50s,Medium,Children,No Wine,Fruits,Meat,No Sweets,Store
575,Graduation,Together,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
908,Graduation,Single,80s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1375,PhD,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2186,Graduation,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2032,2n Cycle,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2100,2n Cycle,Married,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
43,2n Cycle,Married,80s,Low,No Children,No Wine,Fruits,No Meat,Sweets,Web
1159,PhD,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1780,Master,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1035,Graduation,Together,20s,Medium,Children,No Wine,Fruits,Meat,Sweets,Web
1255,PhD,Married,60s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1604,Graduation,Married,40s,Low,Children,No Wine,Fruits,No Meat,Sweets,Store
847,Graduation,Together,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2064,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
295,Graduation,Widow,40s,Medium,No Children,No Wine,Fruits,No Meat,Sweets,Web
831,2n Cycle,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1979,Graduation,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Web
259,Graduation,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1497,2n Cycle,Together,30s,Low,No Children,No Wine,Fruits,No Meat,Sweets,Web
1955,Graduation,Together,40s,Medium,Children,Wine,Fruits,No Meat,No Sweets,Web
1219,Graduation,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
233,Graduation,Married,50s,High,Children,Wine,No Fruits,Meat,Sweets,Web
179,Basic,Together,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
934,Graduation,Divorced,30s,High,Children,Wine,Fruits,No Meat,Sweets,Store
1178,Master,Widow,40s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1877,Graduation,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1290,Graduation,Divorced,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
936,2n Cycle,Divorced,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
592,Master,Single,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1462,PhD,Married,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
2073,Graduation,Together,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1587,Graduation,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1609,PhD,Widow,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
425,PhD,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2025,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1513,2n Cycle,Married,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
821,Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
549,Master,Together,40s,High,Children,Wine,Fruits,Meat,No Sweets,Store
1079,Graduation,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1826,Master,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1059,Graduation,Together,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
2143,Graduation,Divorced,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
1948,Graduation,Together,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1271,Basic,Married,60s,Medium,No Children,No Wine,Fruits,Meat,Sweets,Store
1283,PhD,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
876,Master,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
873,PhD,Single,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
503,Graduation,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1109,Master,Divorced,30s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
1838,Master,Divorced,40s,High,Children,Wine,No Fruits,Meat,Sweets,Web
1965,Graduation,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1294,PhD,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
128,PhD,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
8,PhD,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
725,Basic,Married,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1436,PhD,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1787,Graduation,Married,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
784,2n Cycle,Divorced,40s,High,Children,Wine,Fruits,Meat,No Sweets,Web
905,2n Cycle,Single,50s,Medium,Children,Wine,Fruits,No Meat,Sweets,Store
1188,Graduation,Married,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
1819,PhD,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
268,Master,Divorced,40s,High,Children,Wine,Fruits,Meat,No Sweets,Web
1527,Graduation,Divorced,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
1123,PhD,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1958,Graduation,Married,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1144,Graduation,Together,30s,Medium,No Children,Wine,Fruits,Meat,Sweets,Web
1917,Graduation,Married,60s,High,Children,Wine,Fruits,Meat,Sweets,Store
1697,Basic,Single,80s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
529,PhD,Single,20s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1721,Graduation,Married,50s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
329,PhD,Married,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1101,PhD,Single,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
605,Graduation,Widow,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2202,Graduation,Together,40s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
1894,Graduation,Single,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
983,Graduation,Together,30s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
151,Graduation,Married,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
242,2n Cycle,Together,50s,Medium,No Children,No Wine,Fruits,No Meat,Sweets,Store
1547,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1344,PhD,Single,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
830,Graduation,Married,30s,Low,Children,No Wine,Fruits,No Meat,No Sweets,Web
1710,Basic,Single,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1817,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
1626,Basic,Together,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1525,Graduation,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
844,Graduation,Married,20s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
606,Master,Married,50s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
1045,Graduation,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2038,Graduation,Single,40s,Low,No Children,No Wine,No Fruits,No Meat,Sweets,Web
1307,Master,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1025,PhD,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1414,2n Cycle,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
719,Graduation,Married,30s,High,Children,Wine,No Fruits,Meat,Sweets,Store
254,Master,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1844,2n Cycle,Divorced,30s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
201,PhD,Married,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1771,2n Cycle,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
776,Graduation,Divorced,30s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
1390,Master,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
1231,PhD,Together,30s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
1275,Master,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1152,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1176,2n Cycle,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
9,PhD,Together,60s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
874,Graduation,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
848,Master,Together,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1622,Master,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1633,Graduation,Married,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
430,Graduation,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1162,Master,Married,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
447,Graduation,Married,40s,High,Children,Wine,No Fruits,Meat,Sweets,Store
2167,Master,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
741,Graduation,Together,30s,High,No Children,Wine,Fruits,Meat,Sweets,Web
194,Master,Single,20s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
36,Graduation,Widow,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
713,Graduation,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
222,Graduation,Single,60s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
1190,Graduation,Divorced,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1535,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
723,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
84,Master,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2087,Graduation,Widow,50s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
80,Master,Married,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1174,PhD,Single,50s,High,Children,Wine,No Fruits,Meat,No Sweets,Store
1879,Basic,Together,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1147,Graduation,Married,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
773,Master,Together,50s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2114,Graduation,Single,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
676,PhD,Together,40s,High,No Children,Wine,Fruits,Meat,No Sweets,Web
1859,Master,Widow,50s,Medium,No Children,No Wine,Fruits,Meat,Sweets,Web
587,Graduation,Single,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
777,Master,Together,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
975,2n Cycle,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1782,2n Cycle,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
308,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1479,Graduation,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
48,Graduation,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
939,Master,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1942,PhD,Widow,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1429,2n Cycle,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1892,Master,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1514,2n Cycle,Together,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1848,Graduation,Widow,30s,High,Children,Wine,Fruits,Meat,No Sweets,Web
1738,Basic,Single,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
560,PhD,Together,40s,High,Children,Wine,No Fruits,No Meat,No Sweets,Web
1835,PhD,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
137,2n Cycle,Married,30s,Medium,Children,No Wine,No Fruits,Meat,No Sweets,Web
413,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
448,Graduation,Widow,60s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
550,2n Cycle,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
2142,PhD,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1896,Graduation,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
246,Graduation,Single,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
2030,Graduation,Married,30s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
538,Graduation,Single,20s,Low,Children,No Wine,Fruits,No Meat,No Sweets,Web
1729,Basic,Together,60s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
933,2n Cycle,Married,20s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1061,Graduation,Together,50s,Medium,No Children,Wine,No Fruits,No Meat,No Sweets,Web
1172,Graduation,Single,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1004,Graduation,Together,40s,Medium,No Children,Wine,No Fruits,Meat,No Sweets,Store
768,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
636,Graduation,Together,50s,High,Children,Wine,No Fruits,Meat,Sweets,Web
894,Graduation,Widow,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2183,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
2095,Master,Single,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1837,PhD,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Web
405,Graduation,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2011,Master,Together,60s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
1919,PhD,Single,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
951,Graduation,Married,30s,Medium,Children,No Wine,Fruits,Meat,No Sweets,Store
1869,PhD,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
253,Master,Together,50s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
